rank,symbol,score,status,conf%,pumptime,age,num_triggers,triggers
51,BRETT/USDT,6,Watch,48,15m,0,6,CCI_5m=-207.9 CCI_15m=-176.6 WilliamsR_15m=-85.4 ADX_1h=26.7 ADX_4h=28.6 ROC_4h=14.4
52,LA/USDT,6,Watch,48,15m,0,6,CCI_5m=-113.2 ADX_15m=32.3 CCI_15m=-122.6 ADX_1h=30.5 CCI_1h=-147.2 WilliamsR_1h=-89.0
53,AITECH/USDT,6,Watch,48,15m,0,6,ADX_5m=48.8 WilliamsR_5m=-83.3 ADX_15m=29.2 ADX_1h=40.8 ADX_4h=34.5 ROC_4h=9.3
54,RENDER/USDT,6,Watch,48,15m,0,6,CCI_15m=-108.0 WilliamsR_15m=-89.4 ADX_1h=28.4 ADX_4h=28.0 CCI_4h=111.0 ROC_4h=6.0
55,AERO/USDT,6,Watch,48,15m,0,6,CCI_15m=-106.7 ADX_1h=47.8 RSI_4h=70.4 ADX_4h=34.1 CCI_4h=129.5 ROC_4h=16.8
56,NXPC/USDT,6,Watch,48,15m,0,6,CCI_5m=-115.6 WilliamsR_5m=-91.5 CCI_15m=-128.0 WilliamsR_15m=-97.3 CCI_1h=-110.8 WilliamsR_1h=-90.4
57,FIL/USDT,6,Watch,48,15m,0,6,CCI_15m=-104.7 WilliamsR_15m=-84.6 ADX_1h=41.6 ADX_4h=29.7 CCI_4h=129.7 ROC_4h=8.4
58,ETH/USDT,5,Watch,40,15m,4,5,ADX_1h=39.1 RSI_4h=71.1 ADX_4h=32.5 CCI_4h=127.7 ROC_4h=11.9
59,AAVE/USDT,5,Watch,40,15m,0,5,ADX_1h=57.2 RSI_4h=74.8 ADX_4h=38.7 CCI_4h=109.6 ROC_4h=21.6
60,NEAR/USDT,5,Watch,40,15m,0,5,WilliamsR_15m=-82.8 ADX_1h=33.1 ADX_4h=25.2 CCI_4h=128.8 ROC_4h=9.2
61,WIF/USDT,5,Watch,40,15m,0,5,WilliamsR_5m=-81.3 WilliamsR_15m=-88.9 ADX_1h=36.8 ADX_4h=35.8 ROC_4h=13.5
62,INJ/USDT,5,Watch,40,15m,0,5,ADX_5m=34.0 CCI_15m=-116.2 WilliamsR_15m=-92.5 WilliamsR_1h=-85.2 ADX_4h=35.2
63,SHIB/USDT,5,Watch,40,15m,0,5,WilliamsR_5m=-81.8 CCI_15m=-103.9 WilliamsR_15m=-92.6 CCI_4h=113.9 ROC_4h=5.4
64,WLD/USDT,5,Watch,40,15m,0,5,CCI_5m=-102.4 WilliamsR_5m=-86.7 CCI_15m=-115.9 WilliamsR_15m=-95.1 CCI_4h=112.3
65,EDGEN/USDT,5,Watch,40,15m,0,5,ADX_5m=29.1 CCI_5m=-150.1 WilliamsR_5m=-92.9 ADX_4h=34.8 ROC_4h=9.6
66,RUNE/USDT,5,Watch,40,15m,0,5,CCI_5m=-117.2 WilliamsR_5m=-100.0 CCI_15m=-149.0 WilliamsR_15m=-100.0 ROC_4h=7.7
